source,condition,slope,intercept,model,accuracy
cognitive,RF_correct,0.00014755424467978597,0.00021549727562554722,RF,correct
cognitive,RF_correct,0.00027155958843262884,0.00012687580583748955,RF,correct
cognitive,RF_correct,0.000234556119310106,-0.0005788764938690381,RF,correct
cognitive,RF_correct,0.0029354305390232906,0.0010216634006080492,RF,correct
cognitive,RF_incorrect,-0.0006122929733071932,-0.003371205632979894,RF,incorrect
cognitive,RF_incorrect,-0.0005819525980045009,-0.0015367053407172838,RF,incorrect
cognitive,RF_incorrect,-0.0005938869521083217,-0.003832452149426792,RF,incorrect
cognitive,RF_incorrect,0.0018223972654935433,0.0003863126473446204,RF,incorrect
cognitive,RNN_correct,0.012836141577117153,0.12164299114638386,RNN,correct
cognitive,RNN_correct,0.01246862704867393,0.11807241548496074,RNN,correct
cognitive,RNN_correct,0.013415271972517679,0.12715790893175238,RNN,correct
cognitive,RNN_correct,0.006733272249334781,0.07908181923320079,RNN,correct
cognitive,RNN_incorrect,0.010573938668190723,0.1307647286449713,RNN,incorrect
cognitive,RNN_incorrect,0.010286233140162757,0.12717165924486837,RNN,incorrect
cognitive,RNN_incorrect,0.01099012494537988,0.13696698914851496,RNN,incorrect
cognitive,RNN_incorrect,0.006861667017615551,0.07802583610793404,RNN,incorrect
mem_4,RF_correct,0.0006237134933218589,-0.0018888108115640975,RF,correct
mem_4,RF_correct,0.0008758610211536317,-0.004847499876194458,RF,correct
mem_4,RF_correct,0.0010519695153684214,0.0054494407337795404,RF,correct
mem_4,RF_incorrect,0.0012035021335819673,0.004164774679654382,RF,incorrect
mem_4,RF_incorrect,0.002157014986959314,0.004906259474914725,RF,incorrect
mem_4,RF_incorrect,0.0007858918370545287,0.002586990483720326,RF,incorrect
mem_4,RF_incorrect,0.001000020941274684,0.005798705370426163,RF,incorrect
mem_4,RNN_correct,0.009269032032347862,0.07791955832793025,RNN,correct
mem_4,RNN_correct,0.007560261216492865,0.07387293097159667,RNN,correct
mem_4,RNN_correct,0.009098905030438751,0.09413857557372518,RNN,correct
mem_4,RNN_incorrect,0.00865699782927543,0.09987992151841714,RNN,incorrect
mem_4,RNN_incorrect,0.008402662017783794,0.09332391458954928,RNN,incorrect
mem_4,RNN_incorrect,0.010430804431909814,0.11322352444048978,RNN,incorrect
mem_4,RNN_incorrect,0.008032588152218,0.08456414686096854,RNN,incorrect
mixed_4,RF_correct,0.0030420762207509183,0.0018090312438595445,RF,correct
mixed_4,RF_correct,0.0028413800082824226,0.0012870002064396362,RF,correct
mixed_4,RF_correct,0.002584340550784134,0.002453026347438823,RF,correct
mixed_4,RF_correct,0.003712596786134265,0.000676437900860128,RF,correct
mixed_4,RF_correct,0.003491879045987287,0.0025941023120577156,RF,correct
mixed_4,RF_correct,0.0033096688693304657,0.0011012035342933234,RF,correct
mixed_4,RF_incorrect,0.0018795854456945572,-0.002144049251526359,RF,incorrect
mixed_4,RF_incorrect,0.0015022129714196914,-0.0014981226172296061,RF,incorrect
mixed_4,RF_incorrect,0.0013146738155146887,-0.0005114753781672674,RF,incorrect
mixed_4,RF_incorrect,0.0015434782787134814,-0.0017315012420916335,RF,incorrect
mixed_4,RF_incorrect,0.0018386568544850634,-0.0029112529064661452,RF,incorrect
mixed_4,RF_incorrect,0.0024012959769788853,-0.0009088625131563159,RF,incorrect
mixed_4,RF_incorrect,0.001983831488510136,-0.002188642650342482,RF,incorrect
mixed_4,RF_incorrect,0.0020555465038337496,-0.00216526471583783,RF,incorrect
mixed_4,RNN_correct,0.011235076900819542,0.094318975814566,RNN,correct
mixed_4,RNN_correct,0.010607401746524024,0.08699715009256528,RNN,correct
mixed_4,RNN_correct,0.01109347360984616,0.09006666470976293,RNN,correct
mixed_4,RNN_correct,0.008322516684346165,0.08368724939897561,RNN,correct
mixed_4,RNN_correct,0.011746328668428759,0.10189556140579742,RNN,correct
mixed_4,RNN_correct,0.011961301552230701,0.10113886739646208,RNN,correct
mixed_4,RNN_incorrect,0.011127896001804978,0.10892689505860745,RNN,incorrect
mixed_4,RNN_incorrect,0.010880019214286649,0.1037642176709525,RNN,incorrect
mixed_4,RNN_incorrect,0.010709370699829225,0.10359616816905912,RNN,incorrect
mixed_4,RNN_incorrect,0.010604853788448925,0.10208841436097843,RNN,incorrect
mixed_4,RNN_incorrect,0.011025447392620024,0.10517943703431731,RNN,incorrect
mixed_4,RNN_incorrect,0.009660406284041223,0.10257579999876602,RNN,incorrect
mixed_4,RNN_incorrect,0.011551325297341753,0.11569871571370569,RNN,incorrect
mixed_4,RNN_incorrect,0.011576552948485707,0.11337817944586162,RNN,incorrect
