source,score_mean,score_std,pval,acc_train,acc_test,model,p_corrected,stars
cognitive,0.5708632772589449,0.08105008034308217,9.99990000099999e-06,correct,correct,regression,3.999960000399996e-05,***
cognitive,0.5892218463548956,0.09195156283631681,9.99990000099999e-06,correct,incorrect,regression,3.999960000399996e-05,***
cognitive,0.5758634122436465,0.09721683308620355,9.99990000099999e-06,incorrect,correct,regression,3.999960000399996e-05,***
cognitive,0.6053972210628417,0.10714855658360838,9.99990000099999e-06,incorrect,incorrect,regression,3.999960000399996e-05,***
mem_4,0.6311982960490744,0.10415667598501252,9.99990000099999e-06,correct,correct,regression,3.999960000399996e-05,***
mem_4,0.6237559824115613,0.09439836951084307,9.99990000099999e-06,correct,incorrect,regression,3.999960000399996e-05,***
mem_4,0.6102425467243626,0.10330332616769934,9.99990000099999e-06,incorrect,correct,regression,3.999960000399996e-05,***
mem_4,0.6234664915581836,0.09464728714613958,9.99990000099999e-06,incorrect,incorrect,regression,3.999960000399996e-05,***
mixed_4,0.6401739442841414,0.10127539868119485,9.99990000099999e-06,correct,correct,regression,3.999960000399996e-05,***
mixed_4,0.6055741335380868,0.08941541150222261,9.99990000099999e-06,correct,incorrect,regression,3.999960000399996e-05,***
mixed_4,0.6287047073125164,0.10710320638882183,9.99990000099999e-06,incorrect,correct,regression,3.999960000399996e-05,***
mixed_4,0.6058266386844492,0.11006623466444315,9.99990000099999e-06,incorrect,incorrect,regression,3.999960000399996e-05,***
