accuracy_train,accuracy_test,Time,ps_mean,diff_mean,ps_corrected,star
correct trials,correct trials,feature importance T-1,4.999500049995e-05,0.06433065009144251,0.0013998600139986,**
correct trials,correct trials,feature importance T-2,4.999500049995e-05,0.019024624431740664,0.0013998600139986,**
correct trials,correct trials,feature importance T-3,4.999500049995e-05,0.013839333451487235,0.0013998600139986,**
correct trials,correct trials,feature importance T-4,4.999500049995e-05,0.012175723809616292,0.0013998600139986,**
correct trials,correct trials,feature importance T-5,4.999500049995e-05,0.010892655124742325,0.0013998600139986,**
correct trials,correct trials,feature importance T-6,4.999500049995e-05,0.009569575533588611,0.0013998600139986,**
correct trials,correct trials,feature importance T-7,4.999500049995e-05,0.006806747085460576,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-1,4.999500049995e-05,0.047039738264482905,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-2,4.999500049995e-05,0.0158778038985226,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-3,4.999500049995e-05,0.010356857765861096,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-4,9.4990500949905e-05,0.008872677065870638,0.0026597340265973398,**
correct trials,incorrect trials,feature importance T-5,4.999500049995e-05,0.009708620786122436,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-6,4.999500049995e-05,0.008579082983442832,0.0013998600139986,**
correct trials,incorrect trials,feature importance T-7,5.9994000599939994e-05,0.005096583480667768,0.00167983201679832,**
incorrect trials,correct trials,feature importance T-1,5.4994500549945e-05,0.06033392733748324,0.00153984601539846,**
incorrect trials,correct trials,feature importance T-2,4.999500049995e-05,0.016387817273358907,0.0013998600139986,**
incorrect trials,correct trials,feature importance T-3,4.999500049995e-05,0.010657290302107797,0.0013998600139986,**
incorrect trials,correct trials,feature importance T-4,4.999500049995e-05,0.008738049159585943,0.0013998600139986,**
incorrect trials,correct trials,feature importance T-5,4.999500049995e-05,0.008355596825956244,0.0013998600139986,**
incorrect trials,correct trials,feature importance T-6,4.999500049995e-05,0.006827683435201081,0.0013998600139986,**
incorrect trials,correct trials,feature importance T-7,4.999500049995e-05,0.005858032158362381,0.0013998600139986,**
incorrect trials,incorrect trials,feature importance T-1,4.999500049995e-05,0.04487058429693653,0.0013998600139986,**
incorrect trials,incorrect trials,feature importance T-2,4.999500049995e-05,0.01342588293504612,0.0013998600139986,**
incorrect trials,incorrect trials,feature importance T-3,4.999500049995e-05,0.00927516752205597,0.0013998600139986,**
incorrect trials,incorrect trials,feature importance T-4,5.499450054994501e-05,0.006419190894739822,0.0015398460153984602,**
incorrect trials,incorrect trials,feature importance T-5,4.999500049995e-05,0.007643129597392032,0.0013998600139986,**
incorrect trials,incorrect trials,feature importance T-6,5.9994000599939994e-05,0.005409549997767299,0.00167983201679832,**
incorrect trials,incorrect trials,feature importance T-7,0.00338966103389661,0.003608581961243131,0.09491050894910508,n.s.
