accuracy_train,accuracy_test,coefficients,target_data,pval
correct trials,correct trials,0.0019224801615581838,Cognitive,9.999000099990002e-05
correct trials,incorrect trials,0.0013514246613516032,Cognitive,9.999000099990002e-05
incorrect trials,correct trials,0.0016852395913683244,Cognitive,9.999000099990002e-05
incorrect trials,incorrect trials,0.0014632170489636965,Cognitive,9.999000099990002e-05
correct trials,correct trials,0.002521417515198889,Memory,9.999000099990002e-05
correct trials,incorrect trials,0.002558414029066725,Memory,9.999000099990002e-05
incorrect trials,correct trials,0.0022301440635884968,Memory,9.999000099990002e-05
incorrect trials,incorrect trials,0.0022786288232994056,Memory,9.999000099990002e-05
correct trials,correct trials,0.004019284671735204,Mixed,9.999000099990002e-05
correct trials,incorrect trials,0.003520826568260458,Mixed,9.999000099990002e-05
incorrect trials,correct trials,0.003153880340082345,Mixed,9.999000099990002e-05
incorrect trials,incorrect trials,0.0031921586441663492,Mixed,9.999000099990002e-05
